fips_code,county,state,outageFrequency,avgCustomersOut,maxCustomersOut
33011,Hillsborough,New Hampshire,1706,7464.944314185229,78205
33013,Merrimack,New Hampshire,1229,7434.183889340928,61747
33017,Strafford,New Hampshire,1134,3822.084656084656,26902
23013,Knox,Maine,1469,3048.7937372362153,20497
23019,Penobscot,Maine,2621,2932.8439526898132,39495
33001,Belknap,New Hampshire,678,2674.9719764011797,13688
23027,Waldo,Maine,1493,2634.5318151373076,21692
23009,Hancock,Maine,2407,2454.9339426672204,26541
6037,Los Angeles,California,5622,2393.2143365350407,39114
23031,York,Maine,1890,2203.797883597884,42304
23015,Lincoln,Maine,2202,2022.0899182561309,19773
40153,Woodward,Oklahoma,1,1602.0,1602
41067,Washington,Oregon,1677,1456.52534287418,40174
41051,Multnomah,Oregon,1552,1382.2603092783504,15143
33005,Cheshire,New Hampshire,981,1361.4260958205912,8691
23005,Cumberland,Maine,2236,1248.7093023255813,28238
23023,Sagadahoc,Maine,1183,1225.5756551141167,12811
40135,Sequoyah,Oklahoma,3,1195.3333333333333,1197
25011,Franklin,Massachusetts,1267,1164.6361483820046,14345
41005,Clackamas,Oregon,1788,1115.0044742729306,16903
50021,Rutland,Vermont,1900,1081.398947368421,9560
26163,Wayne,Michigan,5614,1053.1287851799075,58642
54075,Pocahontas,West Virginia,691,1028.7988422575977,12454
33015,Rockingham,New Hampshire,5692,970.3432888264231,36505
35037,Quay,New Mexico,52,909.0769230769231,3246
50007,Chittenden,Vermont,1919,861.3058884835852,9214
41047,Marion,Oregon,752,820.9242021276596,10258
50001,Addison,Vermont,1533,767.4422700587085,4799
5033,Crawford,Arkansas,93,759.1935483870968,2481
33003,Carroll,New Hampshire,618,755.205501618123,5806
48063,Camp,Texas,19,741.4736842105264,2800
50017,Orange,Vermont,1306,694.5183767228177,6336
36027,Dutchess,New York,3364,691.8133174791915,18423
51063,Floyd,Virginia,789,688.1799746514575,5742
36111,Ulster,New York,2594,680.6326137239785,14442
6059,Orange,California,4836,666.9578163771712,15801
50023,Washington,Vermont,1602,644.08177278402,4438
50027,Windsor,Vermont,1822,637.1942919868277,5436
40087,McClain,Oklahoma,79,591.5316455696203,1776
40067,Jefferson,Oklahoma,106,577.9245283018868,1995
29103,Knox,Missouri,8,566.625,1129
39127,Perry,Ohio,365,564.0904109589042,6334
23021,Piscataquis,Maine,2143,542.3845076994867,9214
40043,Dewey,Oklahoma,26,527.4230769230769,1609
48355,Nueces,Texas,3167,517.7650773602778,11646
6071,San Bernardino,California,4183,514.6980635907244,20239
26125,Oakland,Michigan,5492,497.5076474872542,37714
50025,Windham,Vermont,1961,492.76287608363083,10760
23011,Kennebec,Maine,1827,477.31089217296113,6458
40095,Marshall,Oklahoma,12,476.3333333333333,598
48305,Lynn,Texas,36,475.3333333333333,1729
48201,Harris,Texas,5651,475.13962130596354,49070
42003,Allegheny,Pennsylvania,2361,462.1901736552308,26543
6065,Riverside,California,4100,423.3078048780488,6727
1051,Elmore,Alabama,301,418.93023255813955,1740
36105,Sullivan,New York,1444,417.281163434903,7247
36071,Orange,New York,3163,408.8055643376541,12566
40061,Haskell,Oklahoma,101,408.44554455445547,3093
54083,Randolph,West Virginia,825,398.03636363636366,3636
25003,Berkshire,Massachusetts,2700,397.36148148148146,15335
41071,Yamhill,Oregon,496,390.4818548387097,3537
40027,Cleveland,Oklahoma,233,385.0429184549356,1666
27033,Cottonwood,Minnesota,6,380.1666666666667,484
36031,Essex,New York,1505,380.1169435215947,6723
8065,Lake,Colorado,66,375.469696969697,529
33009,Grafton,New Hampshire,590,374.6677966101695,1635
53033,King,Washington,3096,371.3720930232558,12135
28091,Marion,Mississippi,793,366.43631778058005,3635
36079,Putnam,New York,1658,359.4384800965018,7712
19081,Hancock,Iowa,122,350.3196721311475,3007
31051,Dixon,Nebraska,35,340.8285714285714,627
19177,Van Buren,Iowa,21,338.7142857142857,1374
48271,Kinney,Texas,16,337.75,647
16017,Bonner,Idaho,525,334.2114285714286,2293
19127,Marshall,Iowa,194,333.12886597938143,6008
6073,San Diego,California,4589,329.3451732403574,48225
19073,Greene,Iowa,26,321.65384615384613,2054
33007,Coos,New Hampshire,372,319.7795698924731,4105
39049,Franklin,Ohio,4595,316.1930359085963,21832
42023,Cameron,Pennsylvania,240,310.37916666666666,3333
26161,Washtenaw,Michigan,4040,306.6002475247525,19024
6111,Ventura,California,3804,300.4111461619348,13813
26147,St. Clair,Michigan,3421,300.14937152879276,9876
56029,Park,Wyoming,82,294.4634146341463,329
54027,Hampshire,West Virginia,916,291.9519650655022,4868
54063,Monroe,West Virginia,915,284.7398907103825,5762
36019,Clinton,New York,821,283.5931790499391,1953
6107,Tulare,California,3189,281.91658827218566,7930
30029,Flathead,Montana,1066,281.9146341463415,3513
36113,Warren,New York,2007,279.9506726457399,4889
40129,Roger Mills,Oklahoma,56,277.01785714285717,1042
54025,Greenbrier,West Virginia,1746,276.709049255441,7762
42089,Monroe,Pennsylvania,2232,273.86290322580646,8455
50003,Bennington,Vermont,1561,270.5701473414478,5736
26051,Gladwin,Michigan,450,269.3311111111111,2580
25027,Worcester,Massachusetts,3255,268.93302611367125,8058
48413,Schleicher,Texas,31,267.83870967741933,1146
26099,Macomb,Michigan,4650,267.76817204301074,22944
48421,Sherman,Texas,9,261.8888888888889,1175
5121,Randolph,Arkansas,120,260.55833333333334,2698
42103,Pike,Pennsylvania,1926,259.64382139148495,12766
36021,Columbia,New York,1863,258.19806763285027,5429
54031,Hardy,West Virginia,750,257.22133333333335,4122
21015,Boone,Kentucky,1063,253.68579492003764,7629
48117,Deaf Smith,Texas,85,253.28235294117647,4243
36011,Cayuga,New York,541,249.55822550831792,6106
25015,Hampshire,Massachusetts,1154,248.58752166377818,3632
55075,Marinette,Wisconsin,993,244.99093655589124,6215
40141,Tillman,Oklahoma,59,242.61016949152543,632
54061,Monongalia,West Virginia,1151,242.1598609904431,5256
36015,Chemung,New York,341,239.42228739002934,2066
23001,Androscoggin,Maine,1281,237.72911787665885,2602
17031,Cook,Illinois,5257,235.94673768308922,5156
40045,Ellis,Oklahoma,28,234.53571428571428,432
36029,Erie,New York,3563,230.42211619421835,5923
39011,Auglaize,Ohio,257,228.50194552529183,1293
12086,Miami-Dade,Florida,5676,228.31236786469344,10282
50011,Franklin,Vermont,1188,225.6271043771044,997
30053,Lincoln,Montana,73,225.3835616438356,1169
29049,Clinton,Missouri,58,225.1551724137931,1201
41053,Polk,Oregon,257,224.92217898832683,1380
36119,Westchester,New York,3461,221.88182606183184,13434
17123,Marshall,Illinois,292,220.91095890410958,3543
40019,Carter,Oklahoma,113,220.56637168141592,1703
36115,Washington,New York,1767,220.5529145444256,2571
36095,Schoharie,New York,890,219.9629213483146,4958
54071,Pendleton,West Virginia,642,219.02803738317758,3838
20099,Labette,Kansas,33,216.06060606060606,1013
6019,Fresno,California,391,215.88235294117646,1681
26075,Jackson,Michigan,1110,215.31171171171172,7348
54023,Grant,West Virginia,492,214.65447154471545,4660
26049,Genesee,Michigan,2587,212.55160417471976,9972
23017,Oxford,Maine,1788,211.44686800894854,3721
39035,Cuyahoga,Ohio,5312,208.08546686746988,18344
5109,Pike,Arkansas,288,206.34027777777777,1533
45081,Saluda,South Carolina,374,206.0668449197861,4011
5021,Clay,Arkansas,192,205.375,1803
42047,Elk,Pennsylvania,464,204.9073275862069,1767
21067,Fayette,Kentucky,1609,204.14605344934742,14221
26023,Branch,Michigan,476,203.6827731092437,2168
39061,Hamilton,Ohio,4364,203.32195233730522,9562
54057,Mineral,West Virginia,629,202.5087440381558,7504
50019,Orleans,Vermont,1071,199.15592903828198,1495
48141,El Paso,Texas,1130,198.12566371681416,8615
36117,Wayne,New York,635,197.33070866141733,3152
42091,Montgomery,Pennsylvania,3537,195.72632174158892,15398
25017,Middlesex,Massachusetts,4359,192.4819912824042,7358
40079,Le Flore,Oklahoma,94,190.9787234042553,1978
26155,Shiawassee,Michigan,753,189.98140770252323,5681
54033,Harrison,West Virginia,1342,189.35022354694485,4264
48017,Bailey,Texas,73,187.32876712328766,261
48435,Sutton,Texas,82,186.15853658536585,1616
6029,Kern,California,2520,185.68849206349208,3960
36121,Wyoming,New York,849,185.4299175500589,4071
12031,Duval,Florida,3791,185.39857557372724,20834
48113,Dallas,Texas,5444,185.3714180749449,5849
51035,Carroll,Virginia,1581,184.44086021505376,3639
36099,Seneca,New York,326,183.24539877300614,1546
40109,Oklahoma,Oklahoma,867,182.0299884659746,3295
26001,Alcona,Michigan,566,181.6643109540636,1702
51077,Grayson,Virginia,1354,179.72156573116692,2757
26059,Hillsdale,Michigan,644,179.0527950310559,2368
39089,Licking,Ohio,1113,178.43306379155436,4624
30047,Lake,Montana,67,178.40298507462686,438
40073,Kingfisher,Oklahoma,3,177.66666666666666,178
51167,Russell,Virginia,967,177.58221302998965,4677
42045,Delaware,Pennsylvania,2678,176.56945481702763,9416
42007,Beaver,Pennsylvania,569,174.4639718804921,1680
39169,Wayne,Ohio,938,174.08955223880596,7946
18005,Bartholomew,Indiana,31,172.41935483870967,482
54007,Braxton,West Virginia,813,171.4391143911439,3028
6083,Santa Barbara,California,2149,170.59702187063752,4105
51197,Wythe,Virginia,932,167.97210300429185,2585
26011,Arenac,Michigan,576,164.70486111111111,1327
39025,Clermont,Ohio,2962,163.48784604996624,12186
21205,Rowan,Kentucky,198,163.4747474747475,1019
27145,Stearns,Minnesota,281,163.1138790035587,3470
40047,Garfield,Oklahoma,166,162.16867469879517,3619
19049,Dallas,Iowa,80,162.15,1004
12011,Broward,Florida,5616,159.27279202279203,14114
22071,Orleans,Louisiana,3100,159.06483870967742,6923
23029,Washington,Maine,1224,157.10294117647058,1570
